Plot,Disturbance,Temperature,Achillea millefolium,Ajuga reptans,Alopecurus pratensis,Anthoxanthum odoratum,Arrhenatherum elatius,Bellis perennis,Brassica spp,Bromus hordeaceus,Calystegia sepium,Capsella bursa-pastoris,Centaurea cyanus,Centaurea jacea,Chaenorhinum minus,Chenopodium album,Cirsium arvense,Crepis biennis,Cynosurus cristatus,Dactylis glomerata,Daucus carota,Erigeron annuus,Euphorbia cyparissias,Euphorbia esula,Lolium arundinaceum,Festuca spp,Galinsoga parviflora,Galium album,Geranium spp,Holcus lanatus,Hypericum spp,Kickxia elatine,Kickxia spuria,Scorzoneroides autumnalis,Leontodon hispidus,Leucanthemum vulgare,Lotus corniculatus,Lythrum salicaria,Medicago lupulina,Medicago sativa,Melilotus albus,Misopates orontium,Myosotis arvensis,Oxalis corniculata,Panicum capillare,Papaver rhoeas,Pimpinella major,Plantago lanceolata,Plantago major,Persicaria maculosa,Potentilla recta,Prunella vulgaris,Ranunculus acris,Rumex acetosa,Sagina apetala,Salvia pratensis,Setaria viridis,Silene vulgaris,Sonchus asper,Tragopogon pratensis,Trifolium pratense,Trifolium repens,Trisetum flavescens,Verbena officinalis,Veronica persica
7A,Undisturbed,Heated,0.01,0.0275,,,0.0725,,,,,,,0.105,,,0.005,0.0225,,0.04,0.07,0.01,,,0.13,0.0625,,0.015,,0.0075,,,,0.005,,0.0425,0.0325,,0.0125,,,,,,,,,0.055,,,0.0025,,0.0075,,,0.0075,,0.0025,,,0.1175,,,,
7B,Undisturbed,Control,0.0075,0.015,,,0.075,,,0.005,,,,0.06,,,0.0375,0.0075,,0.1325,0.085,,,,0.1625,0.1025,,0.005,,0.02,0.005,,,,,0.0325,0.0275,,0.015,,0.02,,,,,,,0.0375,,,0.015,,0.015,,,0.01,,,,0.0025,0.0925,,0.0075,0.005,
8A,Undisturbed,Control,0.01,0.005,,0.0025,0.01,,,0.0025,,,,0.035,,,0.0075,0.015,0.0125,0.0575,0.1175,,,,0.1925,0.0275,,0.01,,0.015,,,,0.0025,,0.025,0.08,,0.015,,,,0.005,,,,,0.0325,,,,0.0075,0.005,,,0.005,,,,,0.15,0.04,0.0025,,
8B,Undisturbed,Heated,0.0275,0.01,,,0.0025,,,,,,0.0025,0.065,,,0.0025,0.0225,,0.0375,0.155,0.0075,,,0.1225,0.0175,,0.015,,0.0025,,,,0.0025,,0.0375,0.0175,,0.02,0.0425,,,0.005,,,,,0.0375,0.005,,0.0025,,,,,,,0.0025,,,0.1375,0.025,,0.005,
9A,Disturbed,Control,0.0325,0.045,,,,,0.01,,0.0175,0.01,,0.0525,0.015,0.0225,0.02,0.0375,,0.01,0.01,,,,0.055,,0.0025,0.0175,0.0175,0.0025,,,0.015,,,0.08,0.005,,0.005,,,,0.01,0.0025,0.02,,,0.0675,,0.0525,0.0175,0.0075,0.0625,,,0.005,0.0825,0.015,0.03,,,0.015,,0.0075,0.005
9B,Disturbed,Heated,0.015,0.015,,,0.0225,,0.05,,0.0075,,,0.0275,0.015,0.0175,0.0125,,,,0.03,0.0075,,,0.0275,,,0.0375,,,,0.0075,0.0425,,,0.0275,0.0075,,,,,,0.005,0.01,0.005,,,0.015,,0.4125,,,,,,0.025,0.0225,0.0025,0.0125,,0.0075,0.005,,0.01,
10A,Undisturbed,Control,0.02,0.0175,,,0.0075,,,,,,,0.1,,,0.0025,,,0.035,0.08,,,,0.1425,0.0825,,0.015,,0.0125,,,,0.005,,0.035,0.0575,,0.0225,,,,0.005,,,,,0.0525,,,,0.0075,0.0075,0.01,,0.0025,,,,,0.0875,0.255,0.0025,,
10B,Undisturbed,Heated,0.0225,0.0275,,,0.0025,,,0.0025,,,0.01,0.08,,,0.005,0.005,0.0025,0.0225,0.125,0.005,,,0.175,0.0325,,0.015,,0.0075,,,,0.0075,0.005,0.0625,0.0225,,0.06,,,,0.0025,0.0025,,,,0.0625,,,0.0025,0.0025,0.0025,,,0.0025,,0.0125,,,0.08,0.3675,,,
11A,Disturbed,Control,0.015,0.02,,,0.0125,,0.1625,,0.0025,,,0.01,0.0025,0.0075,0.005,0.0675,,,,,,,0.0325,,0.0025,0.01,,,0.0025,,0.0125,,,0.0275,,0.0025,0.005,,,0.0025,0.0075,,0.0375,0.005,,0.025,,0.0575,,,0.025,0.015,,,0.115,0.025,0.0175,,,0.0075,,0.0025,0.005
11B,Disturbed,Heated,0.0025,0.0125,,,0.0125,,0.1075,,,,,0.0325,0.0025,0.0075,0.02,,,,0.02,,,,0.005,,,0.005,,,,,,0.0025,,0.005,0.005,,,,,,0.005,0.025,0.035,,,,,,,,0.0025,,,0.02,0.4625,0.02,,,0.0025,,,,
